NAMA_PROV,NAMA_KAB,NAMA_KEC_X,NAMA_DESA_X,R601IK2,R601IK3,R601IK4,R601IK5,R601IK6,R601IK7,R601IK8,ID_UNIK_PODES,TARGET,KEY_JOIN,NAMA_DESA_Y,KABUPATEN,NAMA_KEC_Y,RAIN_MAX_2024_MM,RAIN_MEAN_2024_MM,RAIN_MEDIAN_2024_MM,UNNAMED:_6,UNNAMED:_7,ID_UNIK_SAT,LST_MAX_2024_C,LST_MEAN_2024_C,LST_MEDIAN_2024_C,NDVI_MAX_2024,NDVI_MEAN_2024,NDVI_MEDIAN_2024
RIAU,INDRAGIRI HULU,SUNGAI LALA,PASIR SELABAU,2,0,0,,0,0,,PASIR SELABAU SUNGAI LALA,0,PASIR SELABAU SUNGAI LALA,Pasir Selabau,Pasir Selabau,Sungai Lala,3.956.641.907.527.520,814.369.761.121.684,5.429.276.285.500.360,,,PASIR SELABAU SUNGAI LALA,35.33526283430681,28.441329833005625,28.56619428220107,0.831724715647095,0.6095882583301032,0.6496948355364278
RIAU,INDRAGIRI HULU,SUNGAI LALA,PASIR BONGKAL,1,2,0,D,0,0,,PASIR BONGKAL SUNGAI LALA,1,PASIR BONGKAL SUNGAI LALA,Pasir Bongkal,Pasir Bongkal,Sungai Lala,3.953.960.418.701.170,8.110.963.337.123.390,5.621.369.217.832.880,,,PASIR BONGKAL SUNGAI LALA,34.584432160804035,28.37958366162153,28.497969849246264,0.8424818291457287,0.6154111234433035,0.6685883015075376
RIAU,INDRAGIRI HULU,SUNGAI LALA,PERKEBUNAN SUNGAI PARIT,1,2,0,D,0,0,,PERKEBUNAN SUNGAI PARIT SUNGAI LALA,1,PERKEBUNAN SUNGAI PARIT SUNGAI LALA,Perkebunan Sungai Parit,Perkebunan Sungai Parit,Sungai Lala,3.946.036.010.452.460,8.100.847.126.562.380,5.558.911.724.935.600,,,PERKEBUNAN SUNGAI PARIT SUNGAI LALA,33.021681829997426,28.250438449667584,28.48236028073828,0.874992162724201,0.627194620313966,0.6868171822199121
RIAU,INDRAGIRI HULU,SUNGAI LALA,MORONG,2,0,0,,0,0,,MORONG SUNGAI LALA,0,MORONG SUNGAI LALA,Morong,Morong,Sungai Lala,4.081.953.899.004.980,7.971.885.247.994.920,4.959.397.155.819.950,,,MORONG SUNGAI LALA,35.05787197231836,28.137026474210508,27.85497693194928,0.7863077854671279,0.5321476004212427,0.5494414359861592
RIAU,INDRAGIRI HULU,SUNGAI LALA,SUNGAI LALA,2,0,0,,0,0,,SUNGAI LALA SUNGAI LALA,0,SUNGAI LALA SUNGAI LALA,Sungai Lala,Sungai Lala,Sungai Lala,42.463.331.656.022.500,7.946.361.043.236.470,5.130.086.346.106.090,,,SUNGAI LALA SUNGAI LALA,31.89911577028261,28.133291470016577,28.469407474931668,0.835823609845032,0.5742463001862789,0.6283681859617138
RIAU,INDRAGIRI HULU,SUNGAI LALA,PASIR KELAMPAIAN,2,0,0,,0,0,,PASIR KELAMPAIAN SUNGAI LALA,0,PASIR KELAMPAIAN SUNGAI LALA,Pasir Kelampaian,Pasir Kelampaian,Sungai Lala,3.962.622.653.736.780,815.974.817.089.006,5.310.592.492.421.460,,,PASIR KELAMPAIAN SUNGAI LALA,36.012927203065146,28.241154084121487,28.02568582375481,0.7043689655172416,0.4459294186240214,0.462692030651341
RIAU,INDRAGIRI HULU,SUNGAI LALA,TANJUNG DANAU,2,0,0,,0,0,,TANJUNG DANAU SUNGAI LALA,0,TANJUNG DANAU SUNGAI LALA,Tanjung Danau,Tanjung Danau,Sungai Lala,3.958.387.814.048.950,8.116.015.999.257.060,5.479.163.999.317.070,,,TANJUNG DANAU SUNGAI LALA,34.91967539267017,28.522858001497408,28.51917626527053,0.7728290401396161,0.5279955550497003,0.5552958115183245
RIAU,INDRAGIRI HULU,SUNGAI LALA,SUNGAI AIR PUTIH,2,0,0,,0,0,,SUNGAI AIR PUTIH SUNGAI LALA,0,SUNGAI AIR PUTIH SUNGAI LALA,Sungai Air Putih,Sungai Air Putih,Sungai Lala,42.650.943.181.286.100,8.011.087.861.779.610,5.485.825.264.290.580,,,SUNGAI AIR PUTIH SUNGAI LALA,30.91224719101127,27.892866315815105,28.15085291113385,0.845479673135853,0.6101441199982235,0.6622506128702759
RIAU,INDRAGIRI HULU,LUBUK BATU JAYA,SEI BERAS-BERAS,2,0,0,,0,0,,SUNGAI BERASBERAS LUBUK BATU JAYA,0,SUNGAI BERAS BERAS LUBUK BATU JAYA,Sungai Beras Beras,Sungai Beras Beras,Lubuk Batu Jaya,4.649.624.859.845.190,8.274.297.996.803.560,5.937.220.502.782.750,,,SUNGAI BERAS BERAS LUBUK BATU JAYA,31.413359528487256,28.405304391502284,28.5557924034054,0.8610226915520626,0.642993159363344,0.7175330386378522
RIAU,INDRAGIRI HULU,LUBUK BATU JAYA,SEI BEBERAS HILIR,2,0,0,,0,0,,SUNGAI BEBERAS HILIR LUBUK BATU JAYA,0,SUNGAI BERAS HILIR LUBUK BATU JAYA,Sungai Beras Hilir,Sungai Beras Hilir,Lubuk Batu Jaya,4.596.737.334.016.080,8.106.160.448.743.150,59.009.786.023.722.000,,,SUNGAI BERAS HILIR LUBUK BATU JAYA,31.837469879518107,28.73961178103215,28.87219098616692,0.876790807675145,0.6484608171817704,0.7397524319500223
